Rank,Country,Population_2026,Yearly_Change,Net_Change,Density_per_km2,Land_Area_km2,Migrants_Net,Fertility_Rate,Median_Age,Urban_Population_pct,World_Share_pct
77,Rwanda,14889693,2.2,320352.0,604,24670,-7003.0,3.54,20.2,18.5,0.18
78,Burundi,14729157,2.36,339154.0,574,25680,-35108.0,4.57,16.6,15.4,0.18
79,Bolivia,12749291,1.33,167448.0,12,1083300,-3157.0,2.47,25.5,71.0,0.15
80,South Sudan,12436037,2.03,247249.0,20,610952,7974.0,3.63,19.0,28.3,0.15
81,Tunisia,12415138,0.54,66565.0,80,155360,-14794.0,1.79,33.4,72.2,0.15
82,Haiti,12037506,1.1,131411.0,437,27560,-31968.0,2.55,24.3,62.4,0.15
83,Belgium,11774642,0.14,16039.0,389,30280,29607.0,1.4,42.1,99.0,0.14
84,Dominican Republic,11609500,0.77,89013.0,240,48320,-35038.0,2.17,28.7,86.9,0.14
85,Jordan,11589532,0.6,68848.0,131,88780,60699.0,2.54,24.9,85.4,0.14
86,United Arab Emirates,11574682,2.02,228682.0,138,83600,87401.0,1.21,31.6,80.7,0.14
87,Honduras,11184760,1.63,178910.0,100,111890,-4603.0,2.42,24.6,58.8,0.13
88,Tajikistan,10978599,1.78,191865.0,78,139960,-20198.0,2.96,22.4,28.0,0.13
89,Papua New Guinea,10947848,1.72,185031.0,24,452860,-534.0,2.99,23.0,12.7,0.13
90,Cuba,10892659,-0.41,-44544.0,102,106440,-22086.0,1.46,42.5,82.4,0.13
91,Sweden,10701047,0.42,44414.0,26,410340,42755.0,1.45,40.4,87.7,0.13
92,Czech Republic (Czechia),10527781,-0.77,-81458.0,136,77240,13400.0,1.47,44.3,75.7,0.13
93,Azerbaijan,10454855,0.55,57142.0,126,82658,7708.0,1.66,34.1,59.1,0.13
94,Portugal,10395362,-0.16,-16472.0,113,91590,16968.0,1.52,47.2,66.9,0.13
95,Togo,9930918,2.15,209310.0,183,54390,-12642.0,4.01,19.2,44.8,0.12
